,ID,Modules,Scripts,Target
0,396,IAM,Manual Testing,1
1,4566,IAM,Script 1127,1
2,4077,TENY,Script 671,1
3,118,MIGRA,Script MIGRA24,0
4,4053,CFE,Script 649,1
5,212,PRF,Script PFR101,1
6,4383,IAM,Script 954,0
7,4534,TNT,Script 1101,1
8,46,CFE,Manual Testing,1
9,8527,PRF,Manual Testing,1
10,8196,IAM,Manual Testing,1
11,4377,CFE,Script 949,1
12,4170,IAM,Manual Testing,1
13,4003,PRF,Script 602,1
14,362,INRA,Manual Testing,1
15,165,MIGRA,Manual Testing,0
16,233,TNT,Script TNT119,1
17,4212,TNT,Script 795,1
18,327,ABX,Script ABX48,0
19,422,IAM,Script IAM136,1
20,4076,INRA,Script 670,1
21,4569,IAM,Script 1129,1
22,25,IAM,Script IAM14,1
23,380,CFE,Manual Testing,1
24,4343,INRA,Script 916,1
25,7635,ABX,Manual Testing,1
26,540,PRF,Manual Testing,1
27,350,ABX,Manual Testing,0
28,512,PRF,Manual Testing,1
29,4179,MIGRA,Script 765,1
31,4036,ABX,Script 633,1
32,4171,INRA,Script 757,1
33,4251,INRA,Script 831,1
34,7686,INRA,Script 1288,1
35,4308,INRA,Script 883,1
36,4140,IAM,Script 729,1
37,8376,TENY,Manual Testing,1
38,227,IAM,Script IAM67,1
39,436,INRA,Script INRA143,1
40,416,MIGRA,Script MIGRA146,1
41,216,ABX,Script ABX41,1
42,21,PRF,Manual Testing,1
43,8148,INRA,Manual Testing,1
44,14,CFE,Manual Testing,1
45,4429,TNT,Script 999,1
46,7733,TNT,Manual Testing,1
47,8385,CFE,Manual Testing,1
48,487,TNT,Script TNT161,1
49,4167,CFE,Script 754,1
50,145,MIGRA,Script MIGRA83,1
51,8225,IAM,Manual Testing,1
52,4547,MIGRA,Script 1114,1
53,8244,CFE,Script 1699,1
54,43,CFE,Script CFE05,1
55,4570,TENY,Script 1129,1
56,4134,TENY,Script 724,1
57,4131,IAM,Script 721,1
58,444,PRF,Manual Testing,1
59,4175,IAM,Script 761,0
60,7551,CFE,Manual Testing,1
61,24,MIGRA,Script MIGRA23,1
62,8365,ABX,Script 1391,1
63,496,CFE,Script CFE130,1
65,333,PRF,Script PFR95,1
66,7639,PRF,Script 1261,1
68,385,ABX,Manual Testing,1
69,4058,CFE,Script 654,1
70,297,CFE,Script CFE49,1
71,363,MIGRA,Manual Testing,1
72,7520,INRA,Manual Testing,1
74,461,TENY,Script TENY157,1
75,366,MIGRA,Manual Testing,1
76,408,MIGRA,Manual Testing,1
77,8240,PRF,Script 1707,1
78,338,PRF,Script PFR93,1
79,7507,INRA,Manual Testing,1
81,4309,TENY,Script 880,1
82,146,PRF,Manual Testing,0
83,344,IAM,Script IAM60,1
84,4409,INRA,Script 980,1
85,34,PRF,Script PRF26,1
86,7510,CFE,Manual Testing,1
87,4312,TENY,Script 887,1
89,149,CFE,Script CFE52,1
90,466,ABX,Manual Testing,1
92,40,CFE,Script CFE07,1
94,8387,INRA,Script 1627,1
95,15,INRA,Manual Testing,1
96,8378,IAM,Manual Testing,1
97,4217,TENY,Script 800,1
98,7683,TENY,Manual Testing,1
99,154,MIGRA,Script MIGRA91,0
100,280,CFE,Manual Testing,0
101,4211,ABX,Script 795,1
102,7827,IAM,Manual Testing,0
103,8513,INRA,Manual Testing,1
105,4270,TENY,Script 849,1
106,427,ABX,Script ABX127,1
108,421,INRA,Script INRA142,1
109,222,IAM,Manual Testing,0
110,4388,PRF,Script 959,1
111,4281,ABX,Script 858,1
113,491,PRF,Script PRF152,1
114,4115,PRF,Script 702,1
115,242,PRF,Script PFR98,1
116,4214,MIGRA,Manual Testing,1
117,7542,PRF,Script 1623,1
119,7850,MIGRA,Script 1218,1
120,8514,IAM,Script 1398,1
121,68,PRF,Manual Testing,1
122,4207,TENY,Script 791,1
123,128,MIGRA,Script MIGRA85,1
124,4516,IAM,Script 1084,1
125,342,PRF,Script PFR102,1
126,4046,MIGRA,Script 642,1
127,433,TNT,Manual Testing,1
128,4344,TENY,Script 917,1
130,356,CFE,Manual Testing,1
131,4190,IAM,Script 776,1
132,4499,TNT,Script 1067,1
133,249,MIGRA,Script MIGRA81,1
134,4493,PRF,Script 1061,1
135,7819,TENY,Manual Testing,0
136,4158,CFE,Script 746,1
137,4258,INRA,Manual Testing,1
138,4004,MIGRA,Script 602,1
139,537,MIGRA,Script MIGRA23,1
140,8366,TENY,Manual Testing,1
141,1,ABX,Script ABX01,1
142,4176,ABX,Script 762,1
143,374,PRF,Manual Testing,1
144,3,IAM,Script IAM12,1
145,457,PRF,Script PRF155,1
146,220,INRA,Script INRA79,0
147,4182,TENY,Script 768,1
148,275,CFE,Script CFE54,1
149,4025,TENY,Script 622,1
150,4289,TNT,Script 865,1
151,17,IAM,Script IAM13,1
152,245,PRF,Script PFR94,1
153,4157,MIGRA,Script 745,1
155,368,ABX,Manual Testing,1
156,7506,PRF,Script 1276,1
157,4047,CFE,Script 643,1
158,478,CFE,Script CFE129,1
159,4310,IAM,Script 885,1
161,7516,TENY,Script 1531,1
163,4379,TENY,Script 951,1
164,4519,TENY,Script 1087,1
165,4057,MIGRA,Script 653,1
166,226,INRA,Script INRA75,0
168,4143,PRF,Script 732,1
169,4236,IAM,Manual Testing,1
170,4098,INRA,Script 690,1
171,4387,TNT,Script 958,1
172,340,INRA,Manual Testing,0
174,4063,INRA,Script 658,1
175,13,MIGRA,Script MIGRA21,1
176,8375,CFE,Script 1384,1
177,4081,MIGRA,Script 674,1
178,4255,PRF,Script 835,1
179,4056,IAM,Script 652,1
180,506,ABX,Script ABX125,1
181,4320,CFE,Script 894,1
182,405,TENY,Manual Testing,1
183,23,PRF,Script PRF27,1
184,19,ABX,Manual Testing,1
185,4031,INRA,Script 626,1
186,4074,MIGRA,Script 668,1
187,18,PRF,Manual Testing,1
188,4110,CFE,Script 702,1
190,8219,TNT,Script 1473,1
191,4497,TENY,Script 1065,1
192,8197,TNT,Script 1567,1
193,152,MIGRA,Script MIGRA90,0
